"Year","Area","Street","Street.2"
2011,"Walsall","Golden Pond Take Away       Boldmere Rd",
2011,"Coventry","Good Hope Hospital",
2011,"Wolverhampton","Gracechurch Centre",
2011,"Wolverhampton"," Gracechurch Centre, Outside Supercigs",
2011,"Sandwell"," Gracechurch Shopping Centre, Sutton Coldfield",
2011,"Birmingham"," Grassed Area , Pype Hayes Park    ",
2011,"Walsall","Gravelley Lane",
2011,"Wolverhampton","Gravelley Lane",
2011,"Solihull","Gravelley Lane",
2011,"Wolverhampton"," Gravelly Lane, Erdington, Birmingham",
2011,"Coventry","Hairy Lemon Pub  Sutton Coldfield",
2011,"Sandwell","Hairy Lemon Pub  Sutton Coldfield",
2011,"Dudley","Hermatige Rd",
2011,"Walsall","Hermatige Rd",
2011,"Wolverhampton","Hermitage Drive",
2011,"Coventry","High St",
2011,"Solihull","High St Erdington",
2011,"Walsall"," High St, Erdington",
2011,"Walsall"," High St, Erdington",
2011,"Solihull"," High St, S C",
2011,"Birmingham"," High St, S C",
2011,"Birmingham","Hight St Erdington",
2011,"Birmingham","Hunton Hill",
2011,"Dudley"," Kfc Retail Outlet , Erdington High St",
2011,"Birmingham"," Kingsbury Rd, Erdington, B Ham",
2011,"Birmingham","Kingstanding Circle",
2011,"Wolverhampton"," Ladywell Walk, Birmingham",
2011,"Walsall","Landsdown Rd",
2011,"Sandwell"," Lichfield Rd, Mere Green",
2011,"Coventry"," Lichfield Rd, Sutton Coldfield",
2011,"Dudley"," Lindridge Rd, Sutton Coldfield",
2011,"Wolverhampton","Little Aston Lane",
2011,"Wolverhampton","Longford Rd",
2011,"Wolverhampton"," Longford Rd, Kingstanding, B Ham",
2011,"Wolverhampton","Lower Parade",
2011,"Sandwell","Lower Parade",
2011,"Wolverhampton","Lower Parade",
2011,"Wolverhampton","Lower Parade",
2011,"Dudley","Lower Parade",
2011,"Sandwell","Lower Parade",
2011,"Sandwell","Lower Parade",
2011,"Sandwell","Lower Parade",
2011,"Sandwell","Lower Parade",
2011,"Dudley","Lower Parade",
2011,"Solihull","Lower Parade",
2011,"Solihull","Lower Parade",
2011,"Sandwell","Lower Parade",
2011,"Solihull","Lower Parade",
2011,"Wolverhampton","Lower Parade",
2011,"Birmingham","Lower Parade",
2011,"Coventry","Lower Parade",
2011,"Solihull","Lower Parade",
2011,"Wolverhampton","Lower Parade",
2011,"Wolverhampton","Lower Parade Sc",
2011,"Walsall","Lower Parade Sutton",
2011,"Wolverhampton","Lower Parade Sutton Coldfield",
2011,"Solihull"," Lower Parade,",
2011,"Coventry"," Lower Parade, Suton Coldfield",
2011,"Wolverhampton"," Lower Parade, Sutton Coldfield",
2011,"Coventry"," Lower Parade, Sutton Coldfield",
2011,"Sandwell"," Lower Parade, Sutton Coldfield",
2011,"Birmingham"," Lower Parade, Sutton Coldfield",
2011,"Wolverhampton"," Lower Parade, Sutton Coldfield",
2011,"Birmingham"," Lower Parade, Sutton Coldfield",
2011,"Walsall"," Lower Parade, Sutton Coldfield",
2011,"Birmingham"," Lower Parade, Sutton Coldfield",
2011,"Wolverhampton"," Lower Parade, Sutton Coldfield",
2011,"Birmingham"," Lower Parade, Sutton Coldfield",
2011,"Sandwell"," Lower Parade, Sutton Coldfield",
2011,"Walsall"," Lower Parade, Sutton Coldfield",
2011,"Solihull"," Lower Parade, Sutton Coldfield",
2011,"Coventry"," Lower Parade, Sutton Coldfield",
2011,"Solihull"," Lower Parade, Sutton Coldfield",
2011,"Birmingham"," Lower Parade, Sutton Coldfield Town Centre",
2011,"Birmingham"," Lower Parade, Sutton Coldfield Town Centre",
2011,"Walsall"," Lower Parade, Sutton Coldfield ",
2011,"Coventry","Lydham Close",
2011,"Sandwell","Mill St",
2011,"Solihull"," Mill St, Sutton Coldfield",
2011,"Dudley","Moor Hall Hotel",
2011,"Wolverhampton"," Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham",
2011,"Walsall","Newhall Walk Car Park",
2011,"Birmingham","Newhall Walk Car Park",
2011,"Sandwell","O S H A",
2011,"Wolverhampton","O S Litten Tree",
2011,"Solihull"," O S Litten Tree, S C Town Centre",
2011,"Coventry"," O S Moomoo Bar, S C Town Centre",
2011,"Coventry"," O S Moomoo Bar, South Parade",
2011,"Wolverhampton","O S Retro",
2011,"Wolverhampton"," O S Retro , South Parade",
2011,"Birmingham","O S Retros",
2011,"Walsall"," O S Royal Hotel, Lichfield Rd",
2011,"Birmingham","O S Temple Bar",
2011,"Sandwell","O S Temple Bar",
2011,"Dudley"," O S Temple Bar, High St",
2011,"Coventry"," O S Temple Bar, Lower Parade Sutton Coldfield ",
2011,"Coventry"," O S Temple Bar, S C Town Centre",
2011,"Wolverhampton"," O S Temple Bar, Sutton Coldfield, West Milands",
2011,"Solihull","O S The Hairy Lemon",
2011,"Sandwell","On Pavement Outside The Royal Hotel",
2011,"Wolverhampton"," Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield",
2011,"Dudley"," Outside Glendale Tower, Lyndhurst Estate",
2011,"Walsall"," Outside Litten Tree Pub, Birmingham Rd, Sutton Coldfield ",
2011,"Birmingham"," Outside Moo Moo Club, Town Centre, Sutton Coldfield",
2011,"Wolverhampton"," Outside Moo Moo Night Club, South Parade",
2011,"Walsall"," Outside Temple Parade, Lower Parade",
2011,"Walsall"," Outside The Temple Bar, Lower Parade, Sc",
2011,"Walsall","Parade   Sutton Coldfield",
2011,"Dudley","Parade Sc",
2011,"Solihull","Parade Sutton Coldfield",
2011,"Wolverhampton","Parade Sutton Coldfield",
2011,"Solihull","Parade Sutton Coldfield",
2011,"Birmingham","Parade Sutton Town",
2011,"Birmingham"," Parade, Sutton Coldfield",
2011,"Birmingham"," Parade, Sutton Coldfield",
2011,"Birmingham"," Parade, Sutton Town Centre",
2011,"Solihull"," Parkeston Crescent, Kinsgatnding, B Ham",
2011,"Solihull","Plants Grove Erdington",
2011,"Walsall"," Pype Hayes Rd, Pype Hayes, B Ham",
2011,"Dudley"," Pype Hayes Rd, Pype Hayes, B Ham",
2011,"Wolverhampton"," Pype Hayes Rd, Pype Hayes, B Ham",
2011,"Coventry","Queen St",
2011,"Walsall","Queen St",
2011,"Walsall","Queen St",
2011,"Birmingham","Queen St",
2011,"Wolverhampton","Queen St Sutton Coldfield Town Centre",
2011,"Walsall","Queslett Rd East",
2011,"Sandwell","Redacre Rd Boldmere",
2011,"Walsall","Reservoir Rd",
2011,"Coventry","Ridgeway",
2011,"Sandwell"," Slade Rd, Erdington, B Ham",
2011,"Birmingham"," Slade Rd, Erdington, B Ham",
2011,"Walsall"," Soth Parade, Sutton Coldfield",
2011,"Wolverhampton"," Soth Parade, Sutton Coldfield",
2011,"Walsall","South Parade",
2011,"Coventry","South Parade",
2011,"Coventry","South Parade",
2011,"Wolverhampton","South Parade",
2011,"Coventry","South Parade",
2011,"Wolverhampton","South Parade",
2011,"Solihull","South Parade",
2011,"Wolverhampton","South Parade",
2011,"Wolverhampton","South Parade",
2011,"Dudley","South Parade",
2011,"Birmingham","South Parade",
2011,"Walsall","South Parade",
2011,"Dudley"," South Parade       Town Centre, Sutton Coldfield",
2011,"Walsall","South Parade Sutton Coldfield",
2011,"Dudley","South Parade Sutton Coldfield",
2011,"Solihull","South Parade Sutton Town Centre",
2011,"Wolverhampton"," South Parade, Sutton Coldfield",
2011,"Wolverhampton"," South Parade, Sutton Coldfield",
2011,"Sandwell"," South Parade, Sutton Coldfield",
2011,"Coventry"," South Parade, Sutton Coldfield",
2011,"Wolverhampton"," South Parade, Sutton Coldfield",
2011,"Coventry"," South Parade, Sutton Coldfield",
2011,"Coventry"," South Parade, Sutton Coldfield",
2011,"Solihull"," South Parade, Sutton Coldfield",
2011,"Solihull"," South Parade, Sutton Coldfield",
2011,"Sandwell"," South Parade, Sutton Coldfield",
2011,"Birmingham"," South Parade, Sutton Coldfield",
2011,"Coventry"," South Parade, Sutton Town Centre",
2011,"Wolverhampton"," South Parade, Town Centre, Sutton Coldfield",
2011,"Solihull","Stornaway Rd Castle Vale",
2011,"Dudley","Streetley Rd Erdington",
2011,"Walsall","Sumburgh Croft",
2011,"Coventry","Sutton Coldfield Town Centre",
2011,"Walsall","Sutton Coldfield Town Centre",
2011,"Birmingham","Sutton New Rd",
2011,"Sandwell","Sutton New Rd Erdington",
2011,"Dudley","Sutton New Rd Erdington",
2011,"Dudley","Sutton New Rd Erdington",
2011,"Coventry"," Sutton New Rd, Erdington, B Ham",
2011,"Coventry","Sutton Parade",
2011,"Wolverhampton","Sutton Parade",
2011,"Dudley","Sutton Parade",
2011,"Coventry","Sutton Town Centre",
2011,"Coventry","Sutton Town Centre",
2011,"Coventry","Sutton Town Centre",
2011,"Birmingham","Sutton Town Centre",
2011,"Coventry","Sutton Town Centre",
2011,"Wolverhampton","Tedbury Crescent",
2011,"Wolverhampton"," Tesco S Express, Walsall Rd, Four Oaks, Sutton Coldfield",
2011,"Coventry","The Parade",
2011,"Solihull","The Parade",
2011,"Coventry","The Parade",
2011,"Walsall","The Parade Sutton",
2011,"Walsall","The Parade Sutton Coldfield",
2011,"Coventry"," The Parade, Birmingham Rd, Sutton Coldfield",
2011,"Dudley"," The Parade, Sutton Coldfield",
2011,"Solihull"," The Parade, Sutton Coldfield",
2011,"Walsall"," The Parade, Sutton Coldfield",
2011,"Wolverhampton"," The Parade, Sutton Coldfield",
2011,"Dudley"," The Parade, Sutton Coldfield",
2011,"Sandwell"," The Parade, Sutton Coldfield",
2011,"Coventry"," The Parade, Sutton Town Centre",
2011,"Dudley","The Parade    ",
2011,"Wolverhampton","The Ridgeway",
2011,"Walsall","The Ridgeway",
2011,"Wolverhampton","The Ridgeway",
2011,"Coventry","The Swan Ph",
2011,"Coventry","Turnhouse Rd",
2011,"Wolverhampton","Upper Holland Rd",
2011,"Coventry","Victoria Rd",
2011,"Walsall","Victoria Rd",
2011,"Wolverhampton","Victoria Rd",
2011,"Coventry"," Walsh Drive, Walmley, Sutton Coldfield",
2011,"Sandwell","Warren Farm Rd",
2011,"Solihull","Warren Farm Rd",
2011,"Walsall","Whitehouse Common Rd",
2011,"Sandwell","Wilton Rd",
2011,"Coventry"," Windsor House, Jarvis Rd, Erdington",
2011,"Coventry","Witton Lodge Rd",
2011,"Dudley"," Witton Lodge Rd, Erdington",
2011,"Walsall","York Rd",
2011,"Coventry","Abdon Ave",
2011,"Wolverhampton","Alcester Rd South",
2011,"Walsall","Alvechurch Rd",
2011,"Sandwell","Arden Rd",
2011,"Coventry","Ardencote Froad",
2011,"Coventry","Ashley Close",
2011,"Coventry","Balti Spice Bristol Rd South",
2011,"Solihull","Barnes Hill",
2011,"Sandwell","Barrow House",
2011,"Wolverhampton","Bell St",
2011,"Walsall","Birmingham New St",
2011,"Sandwell","Birmingham New St",
2011,"Wolverhampton","Birmingham New St",
2011,"Coventry"," Birmingham St, Oldbury",
2011,"Walsall","Blandford Rd",
2011,"Birmingham","Bournbrook Rd",
2011,"Coventry","Bournville Front Office",
2011,"Walsall","Bournville Front Office",
2011,"Dudley","Bournville Lane",
2011,"Solihull","Bournville Lane",
2011,"Coventry","Bournville Lane Front Office",
2011,"Walsall","Bowling Green Rd",
2011,"Dudley","Bristol Rd",
2011,"Birmingham","Bristol Rd",
2011,"Coventry","Bristol Rd",
2011,"Wolverhampton","Bristol Rd",
2011,"Birmingham","Bristol Rd Selly Oak",
2011,"Birmingham","Bristol Rd South",
2011,"Sandwell","Bristol Rd South",
2011,"Coventry","Bristol Rd Sth",
2011,"Walsall"," Bristol Rd, Northfield",
2011,"Walsall"," Bristol Rd, Selly Oak",
2011,"Coventry","Bristol Rd",
2011,"Birmingham","Bristol Rd",
2011,"Sandwell","Bristol Rd",
2011,"Walsall","Bristol Rd",
2011,"Coventry","Bristol Rd",
2011,"Wolverhampton","Bristol Rd",
2011,"Wolverhampton","Bristol Rd",
2011,"Walsall","Bristol Rd",
2011,"Birmingham","Bristol Rd",
2011,"Wolverhampton","Bristol Rd",
2011,"Coventry","Bristol Rd",
2011,"Coventry","Bristol Rd",
2011,"Wolverhampton","Bristol Rd",
2011,"Coventry","Bristol Rd",
2011,"Wolverhampton","Bristol Rd Northfield",
2011,"Walsall","Bristol Rd Selly Oak",
2011,"Solihull","Bristol Rd Selly Oak",
2011,"Coventry","Bristol Rd Selly Oak",
2011,"Solihull"," Bristol Rd South, Northfield",
2011,"Coventry"," Bristol Rd South, Selly Oak",
2011,"Coventry"," Bristol Rd, Selly Oak",
2011,"Walsall"," Bristol Rd, Selly Oak",
2011,"Wolverhampton"," Bristol Rd, Selly Oak",
2011,"Walsall","Broad St",
2011,"Birmingham","Broad St",
2011,"Coventry","Broad St",
2011,"Walsall"," Broad St, City Centre",
2011,"Birmingham"," Broad St, City Centre",
2011,"Walsall","Brook Lane",
2011,"Wolverhampton","Bunburry Rd",
2011,"Walsall","Bunburry Rd",
2011,"Wolverhampton"," Burnhill Grove ,Weoley Castle ,Birmingham ",
2011,"Sandwell","Car Park Of Bournville Lane P Stn",
2011,"Coventry"," Chinbrook Rd, Billsley",
2011,"Birmingham","Church Hill Nortthfield",
2011,"Solihull","Church Rd",
2011,"Dudley"," Compton Rd, Cradley Heath",
2011,"Coventry"," Costcutters, Ardern Rd",
2011,"Birmingham","Dawberry Rd",
2011,"Wolverhampton","Dawlish Rd",
2011,"Solihull","Dingle Club",
2011,"Solihull","Doddington Rd",
2011,"Walsall","Dog Kennel Lane",
2011,"Dudley","Dog Pool Lane",
2011,"Solihull","Downfield Drive",
2011,"Wolverhampton","Dudley Bus Station",
2011,"Wolverhampton","Dwellings Lane",
2011,"Solihull","Eafo",
2011,"Coventry","Edgbaston Cricket Ground",
2011,"Wolverhampton","Edgbaston Park Rd",
2011,"Walsall","Exeter Rd   Hubert Rd",
2011,"Birmingham","Fordhouse Lane",
2011,"Solihull"," Four Acres ,Quinton ",
2011,"Coventry"," Frogmill Rd, Frankley",
2011,"Walsall","Genners Lane",
2011,"Coventry","Glastonbury Rd",
2011,"Wolverhampton","Great Park Rubery",
2011,"Walsall","Griffins Brook Lane",
2011,"Walsall","Grosvenor Shopping Centre",
2011,"Coventry","Hagley Rd",
2011,"Solihull","Hagley Rd",
2011,"Coventry","Hagley Rd",
2011,"Sandwell","Hagley Rd",
2011,"Wolverhampton","Hagley Rd",
2011,"Walsall","Hagley Rd",
2011,"Birmingham","Hagley Rd",
2011,"Walsall","Hagley Rd",
2011,"Wolverhampton","Hagley Rd",
2011,"Coventry"," Hagley Rd, Edgbaston",
2011,"Coventry"," Hagley Rd, Eedgbaston",
2011,"Solihull","Harborne Cricket Club",
2011,"Dudley","Harborne High St",
2011,"Sandwell","Harborne High St",
2011,"Wolverhampton","Harborne High St",
2011,"Dudley","Harborne High St",
2011,"Walsall","Harborne Park Rd",
2011,"Coventry","Harborne Police Station",
2011,"Walsall","Harbourne Cricket Club",
2011,"Wolverhampton","Hawkesley End",
2011,"Dudley","Hawkesley Square",
2011,"Dudley","Hazelwell St",
2011,"Walsall","Heathmill Lane Digbeth",
2011,"Wolverhampton","Herons Wood",
2011,"Coventry","High St",
2011,"Wolverhampton","High St Harborne",
